state_abbr,state_fips,state_name,vest_2020,precinct_field_2020,vest_2018,precinct_field_2018,vest_2016,precinct_field_2016,vest_2022,precinct_field_2022,vest_2024,precinct_field_2024,simplification,quantization,min_zoom,max_zoom,max_tile_bytes,big_flag,status,simplify_precincts,notes
MT,30,Montana,mt_2020.zip,SOSPRECINC,mt_2018.zip,SOSPRECINC,mt_2016.zip,SOSPRECINC,mt_gen_2022_prec.zip,UNIQUE_ID,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,0,
NC,37,North Carolina,nc_2020.zip,PREC_ID,nc_2018.zip,PREC_ID,nc_2016.zip,PREC_ID,nc_2022_gen_prec.zip,UNIQUE_ID,nc_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
ND,38,North Dakota,nd_2020.zip,PRECINCT,nd_2018.zip,PRECINCT,nd_2016.zip,PRECINCT,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,0,
NE,31,Nebraska,ne_2020.zip,NAME,ne_2018.zip,NAMELSAD,ne_2016.zip,NAMELSAD,,,ne_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,0,
NH,33,New Hampshire,nh_2020.zip,VTDST20,nh_2018.zip,VTDST20,nh_2016.zip,VTDST20,,,nh_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,0,
NJ,34,New Jersey,nj_2020.zip,MUNINAME,nj_2018.zip,DISTRICT,nj_2016.zip,DISTRICT,,,,,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,extra years: 2017=nj_2017.zip
NM,35,New Mexico,nm_2020.zip,VTDST,nm_2018.zip,VTDST,nm_2016.zip,VTDST,nm_2022_gen_prec.zip,UNIQUE_ID,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,0,
NV,32,Nevada,nv_2020.zip,VTDST,nv_2018.zip,VTDST,nv_2016.zip,VTDST,nv_2022_gen_prec.zip,UNIQUE_ID,nv_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
NY,36,New York,ny_2020.zip,PRECINCT,ny_2018.zip,PRECINCT,ny_2016.zip,PRECINCT,ny_2022_gen_prec.zip,UNIQUE_ID,ny_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
OH,39,Ohio,oh_2020.zip,PRECINCT20,oh_2018.zip,PRECINCT18,oh_2016.zip,PRECINCT16,oh_gen_2022_prec.zip,UNIQUE_ID,oh_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
